temp_env,humidity,lux,wind_speed,pump_status,target_t_cell
31.36,60.0,86276.0,2.36,0,52.929
86276.0,100.0,0,31.36,2.36,86276.0
31.36,60.0,86276.0,2.36,0,52.929
31.42,60.0,87874.0,2.36,0,53.3885
87874.0,100.0,0,31.42,2.36,87874.0
31.42,60.0,87874.0,2.36,0,53.3885
31.48,60.0,87941.0,2.36,0,53.46525
87941.0,100.0,0,31.48,2.36,87941.0
31.48,60.0,87941.0,2.36,0,53.46525
31.55,60.0,89380.0,2.36,0,53.894999999999996
89380.0,100.0,0,31.55,2.36,89380.0
31.55,60.0,89380.0,2.36,0,53.894999999999996
31.61,60.0,89437.0,2.36,0,53.96925
89437.0,100.0,0,31.61,2.36,89437.0
31.61,60.0,89437.0,2.36,0,53.96925
31.67,60.0,89771.0,2.36,0,54.112750000000005
89771.0,100.0,0,31.67,2.36,89771.0
31.67,60.0,89771.0,2.36,0,54.112750000000005
31.73,60.0,90890.0,2.36,0,54.4525
90890.0,100.0,0,31.73,2.36,90890.0
31.73,60.0,90890.0,2.36,0,54.4525
31.79,60.0,91752.0,2.36,0,54.727999999999994
91752.0,100.0,0,31.79,2.36,91752.0
31.79,60.0,91752.0,2.36,0,54.727999999999994
31.85,60.0,92493.0,2.36,0,54.97325
92493.0,100.0,0,31.85,2.36,92493.0
31.85,60.0,92493.0,2.36,0,54.97325
31.91,60.0,91632.0,2.36,0,54.818
91632.0,100.0,0,31.91,2.36,91632.0
31.91,60.0,91632.0,2.36,0,54.818
31.97,60.0,92997.0,2.36,0,55.21925
92997.0,100.0,0,31.97,2.36,92997.0
31.97,60.0,92997.0,2.36,0,55.21925
32.03,60.0,94099.0,2.36,0,55.55475
94099.0,100.0,0,32.03,2.36,94099.0
32.03,60.0,94099.0,2.36,0,55.55475
32.09,60.0,92978.0,2.36,0,55.334500000000006
92978.0,100.0,0,32.09,2.36,92978.0
32.09,60.0,92978.0,2.36,0,55.334500000000006
32.15,60.0,94917.0,2.36,0,55.87925
94917.0,100.0,0,32.15,2.36,94917.0
32.15,60.0,94917.0,2.36,0,55.87925
32.21,60.0,93867.0,2.36,0,55.67675
93867.0,100.0,0,32.21,2.36,93867.0
32.21,60.0,93867.0,2.36,0,55.67675
32.27,60.0,95253.0,2.36,0,56.08325000000001
95253.0,100.0,0,32.27,2.36,95253.0
32.27,60.0,95253.0,2.36,0,56.08325000000001
32.33,60.0,96174.0,2.36,0,56.3735
96174.0,100.0,0,32.33,2.36,96174.0
32.33,60.0,96174.0,2.36,0,56.3735
32.39,60.0,96633.0,2.36,0,56.548249999999996
96633.0,100.0,0,32.39,2.36,96633.0
32.39,60.0,96633.0,2.36,0,56.548249999999996
32.44,60.0,97207.0,2.36,0,56.741749999999996
97207.0,100.0,0,32.44,2.36,97207.0
32.44,60.0,97207.0,2.36,0,56.741749999999996
32.5,60.0,95682.0,2.36,0,56.420500000000004
95682.0,100.0,0,32.5,2.36,95682.0
32.5,60.0,95682.0,2.36,0,56.420500000000004
32.56,60.0,97207.0,2.36,0,56.86175
97207.0,100.0,0,32.56,2.36,97207.0
32.56,60.0,97207.0,2.36,0,56.86175
32.61,60.0,98179.0,2.36,0,57.15475
98179.0,100.0,0,32.61,2.36,98179.0
32.61,60.0,98179.0,2.36,0,57.15475
32.67,60.0,97976.0,2.36,0,57.164
97976.0,100.0,0,32.67,2.36,97976.0
32.67,60.0,97976.0,2.36,0,57.164
32.72,60.0,98030.0,2.36,0,57.2275
98030.0,100.0,0,32.72,2.36,98030.0
32.72,60.0,98030.0,2.36,0,57.2275
32.78,60.0,99019.0,2.36,0,57.53475
99019.0,100.0,0,32.78,2.36,99019.0
32.78,60.0,99019.0,2.36,0,57.53475
32.83,60.0,99145.0,2.36,0,57.616249999999994
99145.0,100.0,0,32.83,2.36,99145.0
32.83,60.0,99145.0,2.36,0,57.616249999999994
32.89,60.0,97845.0,2.36,0,57.35125
97845.0,100.0,0,32.89,2.36,97845.0
32.89,60.0,97845.0,2.36,0,57.35125
32.94,60.0,98325.0,2.36,0,57.521249999999995
98325.0,100.0,0,32.94,2.36,98325.0
32.94,60.0,98325.0,2.36,0,57.521249999999995
32.99,60.0,98310.0,2.36,0,57.5675
98310.0,100.0,0,32.99,2.36,98310.0
32.99,60.0,98310.0,2.36,0,57.5675
33.04,60.0,99109.0,2.36,0,57.81725
99109.0,100.0,0,33.04,2.36,99109.0
33.04,60.0,99109.0,2.36,0,57.81725
33.1,60.0,99544.0,2.36,0,57.986000000000004
99544.0,100.0,0,33.1,2.36,99544.0
33.1,60.0,99544.0,2.36,0,57.986000000000004
33.15,60.0,99604.0,2.36,0,58.051
99604.0,100.0,0,33.15,2.36,99604.0
33.15,60.0,99604.0,2.36,0,58.051
33.2,60.0,100322.0,2.36,0,58.2805
100322.0,100.0,0,33.2,2.36,100322.0
33.2,60.0,100322.0,2.36,0,58.2805
33.25,60.0,99234.0,2.36,0,58.058499999999995
99234.0,100.0,0,33.25,2.36,99234.0
33.25,60.0,99234.0,2.36,0,58.058499999999995
33.3,60.0,98883.0,2.36,0,58.02074999999999
98883.0,100.0,0,33.3,2.36,98883.0
33.3,60.0,98883.0,2.36,0,58.02074999999999
33.35,60.0,100574.0,2.36,0,58.4935
100574.0,100.0,0,33.35,2.36,100574.0
33.35,60.0,100574.0,2.36,0,58.4935
33.39,60.0,100475.0,2.36,0,58.50875
100475.0,100.0,0,33.39,2.36,100475.0
33.39,60.0,100475.0,2.36,0,58.50875
33.44,60.0,99389.0,2.36,0,58.28725
99389.0,100.0,0,33.44,2.36,99389.0
33.44,60.0,99389.0,2.36,0,58.28725
33.49,60.0,99041.0,2.36,0,58.25025
99041.0,100.0,0,33.49,2.36,99041.0
33.49,60.0,99041.0,2.36,0,58.25025
33.54,60.0,99848.0,2.36,0,58.501999999999995
99848.0,100.0,0,33.54,2.36,99848.0
33.54,60.0,99848.0,2.36,0,58.501999999999995
33.58,60.0,99340.0,2.36,0,58.415
