,T_PV,I,T_mt,Do_am
84900,28.75,5170,31.9,66
84960,28.75,5089.17,31.9,65.7
85020,28.75,5331.67,32,65.6
85080,28.75,5410.83,32,65.9
85140,28.75,5203.33,32,65.7
85200,28.87,5237.5,32.1,65.4
85260,29,5224.17,32.1,65.2
85320,29,4858.33,32.1,65
85380,28.94,5304.17,32.2,65
85440,29,5218.33,32.2,65
85500,29.12,4782.5,32.2,65.1
85560,29.12,5171.67,32.3,65
85620,29.12,4966.67,32.3,64.9
85680,29.25,4532.5,32.3,64.7
85740,29.31,4837.5,32.4,64.6
85800,29.37,4958.33,32.4,64.6
85860,29.37,4271.67,32.5,64.7
85920,29.31,3747.5,32.5,64.4
85980,29.19,4282.5,32.4,64.4
86040,29.25,4586.67,32.5,64.5
86100,29.31,4772.5,32.5,64.4
86160,29.37,5014.17,32.5,64.4
86220,29.44,4226.67,32.5,64.2
86280,29.37,4971.67,32.5,64.2
86340,29.44,4660,32.6,64.2
86400,29.5,4378.33,32.6,64.3
86460,29.31,4610.83,32.6,64.2
86520,29.31,4285.83,32.6,64
86580,29.31,3723.33,32.6,64.1
86640,29.31,3772.5,32.6,64
86700,29.19,2860.83,32.5,64.2
86760,29,2675,32.4,64.2
86820,28.94,3401.67,32.4,64.2
86880,28.94,4898.33,32.4,64.4
86940,29,5406.67,32.4,64.4
87000,29,4556.67,32.3,64.5
87060,29.06,4298.33,32.4,64.6
87120,29.06,5048.33,32.4,64.5
87180,29.12,5411.67,32.4,64.6
87240,29.12,5287.5,32.4,64.7
87300,29.06,4660.83,32.4,64.6
87360,29.12,5104.17,32.5,64.4
87420,29.19,5370,32.5,64.3
87480,29.25,5265.83,32.5,64.2
87540,29.31,4227.5,32.5,64
87600,29.37,3220.83,32.5,64.1
87660,29.31,3218.33,32.5,64.1
87720,29.19,3462.5,32.5,64.3
87780,29.12,4066.67,32.4,64.4
87840,29.12,3935.83,32.4,64.5
87900,29.12,3545.83,32.4,64.4
87960,29.19,3321.67,32.4,64.7
88020,29,3800.83,32.4,64.4
88080,29,3805,32.4,64.4
88140,29.06,4192.5,32.4,64.7
88200,29.06,4641.67,32.4,64.5
88260,29.06,5078.33,32.4,64.5
88320,29.12,5334.17,32.4,64.5
88380,29.25,5564.17,32.5,64.4
88440,29.37,5667.5,32.5,64.1
88500,29.31,5605,32.5,64
88560,29.37,5566.67,32.6,64.1
88620,29.5,5254.17,32.7,63.9
88680,29.56,5415,32.7,63.6
88740,29.62,5949.17,32.8,63.5
88800,29.81,6245,32.9,63.4
88860,29.87,6131.67,32.9,63.2
88920,30,6020,33,63.2
88980,30.06,5932.5,33,63.1
89040,30.06,5777.5,33.1,62.9
89100,30.19,4973.33,33.2,62.8
89160,30.25,4720,33.2,62.6
89220,30.19,4652.5,33.2,62.3
89280,30.12,3998.33,33.3,62.3
89340,30.06,4195.83,33.3,62.3
89400,30.06,3951.67,33.3,62.3
89460,30,4127.5,33.2,62.5
89520,29.87,3637.5,33.2,62.6
89580,29.81,3329.17,33.2,62.7
89640,29.75,3269.17,33.1,62.8
89700,29.69,2995.83,33.1,62.8
89760,29.56,2944.17,33,63
89820,29.56,2881.67,32.9,63.5
